S.No,Name,Date,Rating,Title,Review,Language,Translated_Review,Final_Review,cleaned_review,word_tokens,sent_tokens,filtered_tokens,lemmatized_tokens,normalized_review
11,Syamprasad 🇳🇱,Published date26/08/25,5,This Works Great,This does work great but you definitely need to moisturize afterwards.,en,This does work great but you definitely need to moisturize afterwards.,This does work great but you definitely need to moisturize afterwards.,this does work great but you definitely need to moisturize afterwards.,"['this', 'does', 'work', 'great', 'but', 'you', 'definitely', 'need', 'to', 'moisturize', 'afterwards', '.']","['this does work great', 'but you definitely need to moisturize afterwards.']","['work', 'great', 'definitely', 'need', 'moisturize']","['work', 'great', 'definitely', 'need', 'moisturize']",work great definitely need moisturize
12,Mamalu D. 🇮🇳,Published date01/10/25,5,Good,Good,en,Good,Good,good,['good'],['good'],['good'],['good'],good
13,Nikhil K. 🇮🇳,Published date29/09/25,5,Giod,Giod,cy,Giod,Giod,giod,['giod'],['giod'],['giod'],['giod'],giod
14,Lirin T. 🇮🇳,Published date26/08/25,2,Avarage,Avarage,sv,Avarage,Avarage,avarage,['avarage'],['avarage'],['avarage'],['avarage'],avarage
15,N N. 🇮🇳,Published date06/05/25,5,What?,"It’s actually been a good product, it clears my acne and impurities but it doesn’t fades dark spots much better, it controls my oil very well as my skin type is oily, I definitely recommend this product for those who had oily skin type with acne and dark spots,I feel very fresh after I wash face wit...",en,"It’s actually been a good product, it clears my acne and impurities but it doesn’t fades dark spots much better, it controls my oil very well as my skin type is oily, I definitely recommend this product for those who had oily skin type with acne and dark spots,I feel very fresh after I wash face wit...","It’s actually been a good product, it clears my acne and impurities but it doesn’t fades dark spots much better, it controls my oil very well as my skin type is oily, I definitely recommend this product for those who had oily skin type with acne and dark spots,I feel very fresh after I wash face wit...","it s actually been a good product, it clears my acne and impurities but it doesn t fades dark spots much better, it controls my oil very well as my skin type is oily, i definitely recommend this product for those who had oily skin type with acne and dark spots,i feel very fresh after i wash face wit...","['it', 's', 'actually', 'been', 'a', 'good', 'product', ',', 'it', 'clears', 'my', 'acne', 'and', 'impurities', 'but', 'it', 'doesn', 't', 'fades', 'dark', 'spots', 'much', 'better', ',', 'it', 'controls', 'my', 'oil', 'very', 'well', 'as', 'my', 'skin', 'type', 'is', 'oily', ',', 'i', 'definitely', 'recommend', 'this', 'product', 'for', 'those', 'who', 'had', 'oily', 'skin', 'type', 'with', 'acne', 'and', 'dark', 'spots', ',', 'i', 'feel', 'very', 'fresh', 'after', 'i', 'wash', 'face', 'wit', '...']","['it s actually been a good product, it clears my acne and impurities but it doesn t fades dark spots much better, it controls my oil very well as my skin type is oily, i definitely recommend this product for those who had oily skin type with acne and dark spots,i feel very fresh after i wash face wit...']","['s', 'actually', 'good', 'product', 'clears', 'acne', 'impurities', 'doesn', 't', 'fades', 'dark', 'spots', 'better', 'controls', 'oil', 'skin', 'type', 'oily', 'definitely', 'recommend', 'product', 'oily', 'skin', 'type', 'acne', 'dark', 'spots', 'feel', 'fresh', 'wash', 'face', 'wit']","['s', 'actually', 'good', 'product', 'clear', 'acne', 'impurity', 'doesn', 't', 'fade', 'dark', 'spot', 'well', 'control', 'oil', 'skin', 'type', 'oily', 'definitely', 'recommend', 'product', 'oily', 'skin', 'type', 'acne', 'dark', 'spot', 'feel', 'fresh', 'wash', 'face', 'wit']",s actually good product clear acne impurity doesn t fade dark spot well control oil skin type oily definitely recommend product oily skin type acne dark spot feel fresh wash face wit
16,Farhana F. 🇮🇳,Published date05/05/25,4,Minimalist salicylic acid face wash,"As new to salicylic acid i haven't star using it daily,i use this face wash on alternative days before bed,i started having purging and it goes away after 3-4 days but i started seeing little difference,my comedones started to minimize,i hope this clears out my face by using regularly,i also use ben...",en,"As new to salicylic acid i haven't star using it daily,i use this face wash on alternative days before bed,i started having purging and it goes away after 3-4 days but i started seeing little difference,my comedones started to minimize,i hope this clears out my face by using regularly,i also use ben...","As new to salicylic acid i haven't star using it daily,i use this face wash on alternative days before bed,i started having purging and it goes away after 3-4 days but i started seeing little difference,my comedones started to minimize,i hope this clears out my face by using regularly,i also use ben...","as new to salicylic acid i haven't star using it daily,i use this face wash on alternative days before bed,i started having purging and it goes away after 3 4 days but i started seeing little difference,my comedones started to minimize,i hope this clears out my face by using regularly,i also use ben...","['as', 'new', 'to', 'salicylic', 'acid', 'i', 'have', ""n't"", 'star', 'using', 'it', 'daily', ',', 'i', 'use', 'this', 'face', 'wash', 'on', 'alternative', 'days', 'before', 'bed', ',', 'i', 'started', 'having', 'purging', 'and', 'it', 'goes', 'away', 'after', '3', '4', 'days', 'but', 'i', 'started', 'seeing', 'little', 'difference', ',', 'my', 'comedones', 'started', 'to', 'minimize', ',', 'i', 'hope', 'this', 'clears', 'out', 'my', 'face', 'by', 'using', 'regularly', ',', 'i', 'also', 'use', 'ben', '...']","[""as new to salicylic acid i haven't star using it daily,i use this face wash on alternative days before bed,i started having purging and it goes away after 3 4 days"", 'but i started seeing little difference,my comedones started to minimize,i hope this clears out my face by using regularly,i also use ben...']","['new', 'salicylic', 'acid', 'star', 'daily', 'use', 'face', 'wash', 'alternative', 'days', 'bed', 'started', 'having', 'purging', 'goes', 'away', 'days', 'started', 'seeing', 'little', 'difference', 'comedones', 'started', 'minimize', 'hope', 'clears', 'face', 'regularly', 'use', 'ben']","['new', 'salicylic', 'acid', 'star', 'daily', 'use', 'face', 'wash', 'alternative', 'day', 'bed', 'start', 'have', 'purging', 'go', 'away', 'day', 'start', 'see', 'little', 'difference', 'comedo', 'start', 'minimize', 'hope', 'clear', 'face', 'regularly', 'use', 'ben']",new salicylic acid star daily use face wash alternative day bed start have purging go away day start see little difference comedo start minimize hope clear face regularly use ben
17,Bushra N. 🇮🇳,Published date03/06/25,5,Excellent for oily skin,Have been using this for more than 2 years now. Tried other skincare brands also but this works best. Cleanse all oil and impurities without making my skin dry.,en,Have been using this for more than 2 years now. Tried other skincare brands also but this works best. Cleanse all oil and impurities without making my skin dry.,Have been using this for more than 2 years now. Tried other skincare brands also but this works best. Cleanse all oil and impurities without making my skin dry.,have been using this for more than 2 years now. tried other skincare brands also but this works best. cleanse all oil and impurities without making my skin dry.,"['have', 'been', 'using', 'this', 'for', 'more', 'than', '2', 'years', 'now', '.', 'tried', 'other', 'skincare', 'brands', 'also', 'but', 'this', 'works', 'best', '.', 'cleanse', 'all', 'oil', 'and', 'impurities', 'without', 'making', 'my', 'skin', 'dry', '.']","['have been using this for more than 2 years now.', 'tried other skincare brands also but this works best.', 'cleanse all oil and impurities without making my skin dry.']","['years', 'tried', 'skincare', 'brands', 'works', 'best', 'cleanse', 'oil', 'impurities', 'making', 'skin', 'dry']","['year', 'try', 'skincare', 'brand', 'work', 'good', 'cleanse', 'oil', 'impurity', 'make', 'skin', 'dry']",year try skincare brand work good cleanse oil impurity make skin dry
18,Jyot P. 🇮🇳,Published date01/05/25,5,One way or the other,The product is doing the job it is supposed to. Not damaging the skin and making sure to get the face cleansed right. But I believe there is a dryness issue and that it affects the sensitivity of skin. Please note that. And I would really love if you create a product which deals with more than one t...,en,The product is doing the job it is supposed to. Not damaging the skin and making sure to get the face cleansed right. But I believe there is a dryness issue and that it affects the sensitivity of skin. Please note that. And I would really love if you create a product which deals with more than one t...,The product is doing the job it is supposed to. Not damaging the skin and making sure to get the face cleansed right. But I believe there is a dryness issue and that it affects the sensitivity of skin. Please note that. And I would really love if you create a product which deals with more than one t...,the product is doing the job it is supposed to. not damaging the skin and making sure to get the face cleansed right. but i believe there is a dryness issue and that it affects the sensitivity of skin. please note that. and i would really love if you create a product which deals with more than one t...,"['the', 'product', 'is', 'doing', 'the', 'job', 'it', 'is', 'supposed', 'to', '.', 'not', 'damaging', 'the', 'skin', 'and', 'making', 'sure', 'to', 'get', 'the', 'face', 'cleansed', 'right', '.', 'but', 'i', 'believe', 'there', 'is', 'a', 'dryness', 'issue', 'and', 'that', 'it', 'affects', 'the', 'sensitivity', 'of', 'skin', '.', 'please', 'note', 'that', '.', 'and', 'i', 'would', 'really', 'love', 'if', 'you', 'create', 'a', 'product', 'which', 'deals', 'with', 'more', 'than', 'one', 't', '...']","['the product is doing the job it is supposed to.', 'not damaging the skin and making sure to get the face cleansed right.', 'but i believe there is a dryness issue and that it affects the sensitivity of skin.', 'please note that.', 'and i would really love if you create a product which deals with more than one t...']","['product', 'job', 'supposed', 'damaging', 'skin', 'making', 'sure', 'face', 'cleansed', 'right', 'believe', 'dryness', 'issue', 'affects', 'sensitivity', 'skin', 'note', 'love', 'create', 'product', 'deals', 't']","['product', 'job', 'suppose', 'damage', 'skin', 'make', 'sure', 'face', 'cleanse', 'right', 'believe', 'dryness', 'issue', 'affect', 'sensitivity', 'skin', 'note', 'love', 'create', 'product', 'deal', 't']",product job suppose damage skin make sure face cleanse right believe dryness issue affect sensitivity skin note love create product deal t
19,Mandeep K. 🇮🇳,Published date19/04/25,4,Good but can be bettered,"Overall, it cleanses out the oil efficiently along with proper hydration and plumpness in the skin, however one thing I've noticed is that if I forget to apply moisturizer after washing my face with it, then after 2/2. 5 hours, the oil starts to appear properly in face. Please have a look on this.

...",en,"Overall, it cleanses out the oil efficiently along with proper hydration and plumpness in the skin, however one thing I've noticed is that if I forget to apply moisturizer after washing my face with it, then after 2/2. 5 hours, the oil starts to appear properly in face. Please have a look on this.

...","Overall, it cleanses out the oil efficiently along with proper hydration and plumpness in the skin, however one thing I've noticed is that if I forget to apply moisturizer after washing my face with it, then after 2/2. 5 hours, the oil starts to appear properly in face. Please have a look on this.

...","overall, it cleanses out the oil efficiently along with proper hydration and plumpness in the skin, however one thing i've noticed is that if i forget to apply moisturizer after washing my face with it, then after 2 2. 5 hours, the oil starts to appear properly in face. please have a look on this. ...","['overall', ',', 'it', 'cleanses', 'out', 'the', 'oil', 'efficiently', 'along', 'with', 'proper', 'hydration', 'and', 'plumpness', 'in', 'the', 'skin', ',', 'however', 'one', 'thing', 'i', ""'ve"", 'noticed', 'is', 'that', 'if', 'i', 'forget', 'to', 'apply', 'moisturizer', 'after', 'washing', 'my', 'face', 'with', 'it', ',', 'then', 'after', '2', '2', '.', '5', 'hours', ',', 'the', 'oil', 'starts', 'to', 'appear', 'properly', 'in', 'face', '.', 'please', 'have', 'a', 'look', 'on', 'this', '.', '...']","[""overall, it cleanses out the oil efficiently along with proper hydration and plumpness in the skin, however one thing i've noticed is that if i forget to apply moisturizer after washing my face with it, then after 2 2. 5 hours, the oil starts to appear properly in face."", 'please have a look on this. ...']","['overall', 'cleanses', 'oil', 'efficiently', 'proper', 'hydration', 'plumpness', 'skin', 'thing', 'noticed', 'forget', 'apply', 'moisturizer', 'washing', 'face', 'hours', 'oil', 'starts', 'appear', 'properly', 'face', 'look']","['overall', 'cleanse', 'oil', 'efficiently', 'proper', 'hydration', 'plumpness', 'skin', 'thing', 'notice', 'forget', 'apply', 'moisturizer', 'washing', 'face', 'hour', 'oil', 'start', 'appear', 'properly', 'face', 'look']",overall cleanse oil efficiently proper hydration plumpness skin thing notice forget apply moisturizer washing face hour oil start appear properly face look
20,kameswararao m. 🇮🇳,Published date14/07/25,5,Good,I liked it awesome,en,I liked it awesome,I liked it awesome,i liked it awesome,"['i', 'liked', 'it', 'awesome']",['i liked it awesome'],"['liked', 'awesome']","['like', 'awesome']",like awesome
22,Ranjit K. 🇮🇳,Published date28/05/25,1,Missing items,I have raised complain but they are saying we have sent item to me. Igot free item . Not product that what i want,en,I have raised complain but they are saying we have sent item to me. Igot free item . Not product that what i want,I have raised complain but they are saying we have sent item to me. Igot free item . Not product that what i want,i have raised complain but they are saying we have sent item to me. igot free item . not product that what i want,"['i', 'have', 'raised', 'complain', 'but', 'they', 'are', 'saying', 'we', 'have', 'sent', 'item', 'to', 'me', '.', 'igot', 'free', 'item', '.', 'not', 'product', 'that', 'what', 'i', 'want']","['i have raised complain but they are saying we have sent item to me.', 'igot free item .', 'not product that what i want']","['raised', 'complain', 'saying', 'sent', 'item', 'igot', 'free', 'item', 'product', 'want']","['raise', 'complain', 'say', 'send', 'item', 'igot', 'free', 'item', 'product', 'want']",raise complain say send item igot free item product want
23,Kalaivani M. 🇮🇳,Published date13/05/25,5,Bottle lid,This product is good but the bottle tap is not satisfied. It always spills some amount of product which make my table nasty,en,This product is good but the bottle tap is not satisfied. It always spills some amount of product which make my table nasty,This product is good but the bottle tap is not satisfied. It always spills some amount of product which make my table nasty,this product is good but the bottle tap is not satisfied. it always spills some amount of product which make my table nasty,"['this', 'product', 'is', 'good', 'but', 'the', 'bottle', 'tap', 'is', 'not', 'satisfied', '.', 'it', 'always', 'spills', 'some', 'amount', 'of', 'product', 'which', 'make', 'my', 'table', 'nasty']","['this product is good but the bottle tap is not satisfied.', 'it always spills some amount of product which make my table nasty']","['product', 'good', 'bottle', 'tap', 'satisfied', 'spills', 'product', 'table', 'nasty']","['product', 'good', 'bottle', 'tap', 'satisfied', 'spill', 'product', 'table', 'nasty']",product good bottle tap satisfied spill product table nasty
24,karan S. 🇮🇳,Published date26/04/25,5,Achcha hai per thoda sasta hota to theek rahata kyunki kharide mein बार-बार dikkat Ho Rahi hai,Maine iska use Kiya mere ko achcha Laga per ismein mujhe dikkat yah a rahi hai ki iska Jo upar ka dhakkan hai cap vah hand wash ki botal Ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi Na jaaye I hop Ki Tum sabko se karoge,id,Maine iska use Kiya mere ko achcha Laga per ismein mujhe dikkat yah a rahi hai ki iska Jo upar ka dhakkan hai cap vah hand wash ki botal Ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi Na jaaye I hop Ki Tum sabko se karoge,Maine iska use Kiya mere ko achcha Laga per ismein mujhe dikkat yah a rahi hai ki iska Jo upar ka dhakkan hai cap vah hand wash ki botal Ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi Na jaaye I hop Ki Tum sabko se karoge,maine iska use kiya mere ko achcha laga per ismein mujhe dikkat yah a rahi hai ki iska jo upar ka dhakkan hai cap vah hand wash ki botal ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi na jaaye i hop ki tum sabko se karoge,"['maine', 'iska', 'use', 'kiya', 'mere', 'ko', 'achcha', 'laga', 'per', 'ismein', 'mujhe', 'dikkat', 'yah', 'a', 'rahi', 'hai', 'ki', 'iska', 'jo', 'upar', 'ka', 'dhakkan', 'hai', 'cap', 'vah', 'hand', 'wash', 'ki', 'botal', 'ki', 'tarah', 'hona', 'chahie', 'taki', 'use', 'karne', 'mein', 'ego', 'aur', 'andar', 'botal', 'ke', 'andar', 'gandgi', 'na', 'jaaye', 'i', 'hop', 'ki', 'tum', 'sabko', 'se', 'karoge']",['maine iska use kiya mere ko achcha laga per ismein mujhe dikkat yah a rahi hai ki iska jo upar ka dhakkan hai cap vah hand wash ki botal ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi na jaaye i hop ki tum sabko se karoge'],"['maine', 'iska', 'use', 'kiya', 'mere', 'ko', 'achcha', 'laga', 'ismein', 'mujhe', 'dikkat', 'yah', 'rahi', 'hai', 'ki', 'iska', 'jo', 'upar', 'ka', 'dhakkan', 'hai', 'cap', 'vah', 'hand', 'wash', 'ki', 'botal', 'ki', 'tarah', 'hona', 'chahie', 'taki', 'use', 'karne', 'mein', 'ego', 'aur', 'andar', 'botal', 'ke', 'andar', 'gandgi', 'na', 'jaaye', 'hop', 'ki', 'tum', 'sabko', 'se', 'karoge']","['maine', 'iska', 'use', 'kiya', 'mere', 'ko', 'achcha', 'laga', 'ismein', 'mujhe', 'dikkat', 'yah', 'rahi', 'hai', 'ki', 'iska', 'jo', 'upar', 'ka', 'dhakkan', 'hai', 'cap', 'vah', 'hand', 'wash', 'ki', 'botal', 'ki', 'tarah', 'hona', 'chahie', 'taki', 'use', 'karne', 'mein', 'ego', 'aur', 'andar', 'botal', 'ke', 'andar', 'gandgi', 'na', 'jaaye', 'hop', 'ki', 'tum', 'sabko', 'se', 'karoge']",maine iska use kiya mere ko achcha laga ismein mujhe dikkat yah rahi hai ki iska jo upar ka dhakkan hai cap vah hand wash ki botal ki tarah hona chahie taki use karne mein ego aur andar botal ke andar gandgi na jaaye hop ki tum sabko se karoge
25,Sai 🇮🇳,Published date18/04/25,5,Nice,"It's nice but i can't see any such type of results on my face the pour holes have been not cleared yet 
May i know when the results have been expected on the face 
Please can u tell me 🙂",en,"It's nice but i can't see any such type of results on my face the pour holes have been not cleared yet 
May i know when the results have been expected on the face 
Please can u tell me 🙂","It's nice but i can't see any such type of results on my face the pour holes have been not cleared yet 
May i know when the results have been expected on the face 
Please can u tell me 🙂",it's nice but i can't see any such type of results on my face the pour holes have been not cleared yet may i know when the results have been expected on the face please can u tell me,"['it', ""'s"", 'nice', 'but', 'i', 'ca', ""n't"", 'see', 'any', 'such', 'type', 'of', 'results', 'on', 'my', 'face', 'the', 'pour', 'holes', 'have', 'been', 'not', 'cleared', 'yet', 'may', 'i', 'know', 'when', 'the', 'results', 'have', 'been', 'expected', 'on', 'the', 'face', 'please', 'can', 'u', 'tell', 'me']","[""it's nice"", ""but i can't see any such type of results on my face the pour holes have been not cleared yet may i know when the results have been expected on the face please can u tell me""]","['nice', 'type', 'results', 'face', 'pour', 'holes', 'cleared', 'know', 'results', 'expected', 'face', 'u', 'tell']","['nice', 'type', 'result', 'face', 'pour', 'hole', 'clear', 'know', 'result', 'expect', 'face', 'u', 'tell']",nice type result face pour hole clear know result expect face u tell
26,Latha S. 🇮🇳,Published date13/05/25,4,Good product,I have purchased this product for the third time and very good for my skin texture. . so light weighted and gentle. . liked it very much,en,I have purchased this product for the third time and very good for my skin texture. . so light weighted and gentle. . liked it very much,I have purchased this product for the third time and very good for my skin texture. . so light weighted and gentle. . liked it very much,i have purchased this product for the third time and very good for my skin texture. . so light weighted and gentle. . liked it very much,"['i', 'have', 'purchased', 'this', 'product', 'for', 'the', 'third', 'time', 'and', 'very', 'good', 'for', 'my', 'skin', 'texture', '.', '.', 'so', 'light', 'weighted', 'and', 'gentle', '.', '.', 'liked', 'it', 'very', 'much']","['i have purchased this product for the third time and very good for my skin texture. .', 'so light weighted and gentle. .', 'liked it very much']","['purchased', 'product', 'time', 'good', 'skin', 'texture', 'light', 'weighted', 'gentle', 'liked']","['purchase', 'product', 'time', 'good', 'skin', 'texture', 'light', 'weight', 'gentle', 'like']",purchase product time good skin texture light weight gentle like
27,Shreya K. 🇮🇳,Published date02/06/25,1,Ok,It smells and increased my sebum production,en,It smells and increased my sebum production,It smells and increased my sebum production,it smells and increased my sebum production,"['it', 'smells', 'and', 'increased', 'my', 'sebum', 'production']",['it smells and increased my sebum production'],"['smells', 'increased', 'sebum', 'production']","['smell', 'increase', 'sebum', 'production']",smell increase sebum production
28,Karthikeyan M. 🇮🇳,Published date18/05/25,5,Wonderful product,The product was really good. It makes my skin soft and smooth,en,The product was really good. It makes my skin soft and smooth,The product was really good. It makes my skin soft and smooth,the product was really good. it makes my skin soft and smooth,"['the', 'product', 'was', 'really', 'good', '.', 'it', 'makes', 'my', 'skin', 'soft', 'and', 'smooth']","['the product was really good.', 'it makes my skin soft and smooth']","['product', 'good', 'makes', 'skin', 'soft', 'smooth']","['product', 'good', 'make', 'skin', 'soft', 'smooth']",product good make skin soft smooth
29,Tasmiyah B. 🇮🇳,Published date22/04/25,3,Even skin tone achieved.,"It's great at its job, but I think I need something else to clean the pores and maintain the texture. The job of evening the skin tone is great, but I have other issues now😂",en,"It's great at its job, but I think I need something else to clean the pores and maintain the texture. The job of evening the skin tone is great, but I have other issues now😂","It's great at its job, but I think I need something else to clean the pores and maintain the texture. The job of evening the skin tone is great, but I have other issues now😂","it's great at its job, but i think i need something else to clean the pores and maintain the texture. the job of evening the skin tone is great, but i have other issues now","['it', ""'s"", 'great', 'at', 'its', 'job', ',', 'but', 'i', 'think', 'i', 'need', 'something', 'else', 'to', 'clean', 'the', 'pores', 'and', 'maintain', 'the', 'texture', '.', 'the', 'job', 'of', 'evening', 'the', 'skin', 'tone', 'is', 'great', ',', 'but', 'i', 'have', 'other', 'issues', 'now']","[""it's great at its job, but i think i need something else to clean the pores and maintain the texture."", 'the job of evening the skin tone is great, but i have other issues now']","['great', 'job', 'think', 'need', 'clean', 'pores', 'maintain', 'texture', 'job', 'evening', 'skin', 'tone', 'great', 'issues']","['great', 'job', 'think', 'need', 'clean', 'pore', 'maintain', 'texture', 'job', 'evening', 'skin', 'tone', 'great', 'issue']",great job think need clean pore maintain texture job evening skin tone great issue
